"Date","Average Occupancy(%)","Active IDs Assigned to Sites  (Does not include Home Office)","Total Badge Swipes"
"Sat, Jul 11th 2020","3.25","8558","278"
"Fri, Jul 10th 2020","8.57","8560","734"
"Thu, Jul 9th 2020","9.04","8561","774"
"Wed, Jul 8th 2020","9.31","8564","797"
"Tue, Jul 7th 2020","9.3","8563","796"
"Mon, Jul 6th 2020","7.74","8509","659"
"Sun, Jul 5th 2020","1.95","8513","166"
"Sat, Jul 4th 2020","3.08","8514","262"
"Fri, Jul 3rd 2020","6.62","8519","564"
"Thu, Jul 2nd 2020","9.68","8530","826"
"Wed, Jul 1st 2020","8.62","8617","743"
"Tue, Jun 30th 2020","9.69","8626","836"
"Mon, Jun 29th 2020","10.43","8625","900"
"Sun, Jun 28th 2020","3.47","8626","299"
"Sat, Jun 27th 2020","3.57","8631","308"
"Fri, Jun 26th 2020","7.89","8631","681"
"Thu, Jun 25th 2020","8.31","8639","718"
"Wed, Jun 24th 2020","8.98","8643","776"
"Tue, Jun 23rd 2020","9.2","8645","795"
"Mon, Jun 22nd 2020","10.18","8645","880"
"Sun, Jun 21st 2020","2.9","8645","251"
"Sat, Jun 20th 2020","3.58","8651","310"
"Fri, Jun 19th 2020","7.59","8652","657"
"Thu, Jun 18th 2020","9.65","8650","835"
"Wed, Jun 17th 2020","9.73","8657","842"
"Tue, Jun 16th 2020","10.57","8658","915"
"Mon, Jun 15th 2020","10.15","8680","881"
"Sun, Jun 14th 2020","2.97","8681","258"
"Sat, Jun 13th 2020","3.44","8682","299"
"Fri, Jun 12th 2020","9.65","8683","838"
"Thu, Jun 11th 2020","10.1","8686","877"
"Wed, Jun 10th 2020","10.49","8686","911"
"Tue, Jun 9th 2020","10.67","8688","927"
"Mon, Jun 8th 2020","10.59","8690","920"
"Sun, Jun 7th 2020","2.75","8691","239"
"Sat, Jun 6th 2020","3.1","8691","269"
"Fri, Jun 5th 2020","9.74","8693","847"
"Thu, Jun 4th 2020","10.3","8695","896"
"Wed, Jun 3rd 2020","10.63","8689","924"
"Tue, Jun 2nd 2020","9.33","8690","811"
"Mon, Jun 1st 2020","8.89","8705","774"
"Sun, May 31st 2020","2","8706","174"
"Sat, May 30th 2020","2.33","8712","203"
"Fri, May 29th 2020","7.63","8723","666"
"Thu, May 28th 2020","7.92","8729","691"
"Wed, May 27th 2020","7.33","8732","640"
"Tue, May 26th 2020","7.44","8734","650"
"Mon, May 25th 2020","4.92","8829","434"
"Sun, May 24th 2020","1.47","8829","130"
"Sat, May 23rd 2020","1.94","8829","171"
"Fri, May 22nd 2020","3.1","8829","274"
"Thu, May 21st 2020","7.28","8829","643"
"Wed, May 20th 2020","7.61","8829","672"
"Tue, May 19th 2020","6.76","8829","597"
"Mon, May 18th 2020","8.42","8829","743"
"Sun, May 17th 2020","2.17","8829","192"
"Sat, May 16th 2020","2.49","8829","220"
"Fri, May 15th 2020","7.85","8829","693"
"Thu, May 14th 2020","8.57","8829","757"
"Wed, May 13th 2020","7.53","8829","665"
"Tue, May 12th 2020","8.13","8829","718"
"Mon, May 11th 2020","8.05","8829","711"
"Sun, May 10th 2020","2.1","8829","185"
"Sat, May 9th 2020","3.38","8829","298"
"Fri, May 8th 2020","7.16","8829","632"
"Thu, May 7th 2020","7.68","8829","678"
"Wed, May 6th 2020","7.44","8829","657"
"Tue, May 5th 2020","5.1","8829","450"
"Mon, May 4th 2020","5.23","8829","462"
"Sun, May 3rd 2020","1.96","8829","173"
"Sat, May 2nd 2020","2.4","8829","212"
"Fri, May 1st 2020","4.36","8829","385"
"Thu, Apr 30th 2020","6.63","8829","585"
"Wed, Apr 29th 2020","6.74","8829","595"
"Tue, Apr 28th 2020","6.69","8829","591"
"Mon, Apr 27th 2020","6.47","8829","571"
"Sun, Apr 26th 2020","3.38","8829","298"
"Sat, Apr 25th 2020","1.98","8829","175"
"Fri, Apr 24th 2020","6.18","8829","546"
"Thu, Apr 23rd 2020","6.6","8829","583"
"Wed, Apr 22nd 2020","6.35","8829","561"
"Tue, Apr 21st 2020","6.29","8829","555"
"Mon, Apr 20th 2020","6.8","8829","600"
"Sun, Apr 19th 2020","1.96","8829","173"
"Sat, Apr 18th 2020","1.91","8829","169"
"Fri, Apr 17th 2020","6.3","8829","556"
"Thu, Apr 16th 2020","6.4","8829","565"
"Wed, Apr 15th 2020","6.09","8829","538"
"Tue, Apr 14th 2020","6.29","8829","555"
"Mon, Apr 13th 2020","5.96","8829","526"
"Sun, Apr 12th 2020","1.82","8829","161"
"Sat, Apr 11th 2020","1.98","8829","175"
"Fri, Apr 10th 2020","5.48","8829","484"
"Thu, Apr 9th 2020","6.44","8829","569"
"Wed, Apr 8th 2020","6.49","8829","573"
"Tue, Apr 7th 2020","6.2","8829","547"
"Mon, Apr 6th 2020","4.83","8829","426"
"Sun, Apr 5th 2020","1.82","8829","161"
"Sat, Apr 4th 2020","2.13","8829","188"
"Fri, Apr 3rd 2020","5.72","8829","505"
"Thu, Apr 2nd 2020","6.82","8829","602"
